,node_code,node_type,x(m),y(m),z(m),central_freq(GHz),channel_bonding_model,primary_channel,min_channel_allowed,max_channel_allowed,tpc_default(dBm),cca_default(dBm),traffic_model,traffic_load[pkt/s],packet_length,num_packets_aggregated,capture_effect_model,capture_effect_thr,constant_per,pifs_activated,cw_adaptation,cont_wind,cont_wind_stage,rssi,throughput,sinr
0,AP_A,0,10.0,10.0,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
1,STA_A1,1,0.0713,10.8079,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.35,5.79,29.36
2,STA_A2,1,1.9627,4.1427,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.41,6.11,29.48
3,STA_A3,1,13.7849,16.7538,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.52,6.91,31.97
4,STA_A4,1,6.7112,1.7487,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.42,9.99,31.26
5,STA_A5,1,13.1934,2.3628,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.96,9.44,32.05
6,STA_A6,1,17.6857,7.6662,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.72,7.25,31.69
7,STA_A7,1,19.4473,8.4359,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.96,5.88,29.04
8,STA_A8,1,4.3802,2.0739,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.06,7.38,29.86
9,STA_A9,1,16.0383,10.9948,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.61,10.91,35.6
10,STA_A10,1,17.8436,9.8488,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.94,10.05,31.86
11,STA_A11,1,12.0082,17.2247,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.01,10.26,32.88
12,STA_A12,1,4.7865,5.2762,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.38,7.93,34.69
13,STA_A13,1,19.7406,7.8867,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-57.69,4.88,28.28
14,STA_A14,1,15.8196,8.7287,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
15,AP_B,0,30.0,10.0,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
16,STA_B1,1,20.2761,9.5743,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.92,8.1,28.86
17,STA_B2,1,32.1268,13.9079,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.43,10.44,38.73
18,STA_B3,1,21.1853,9.4585,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.14,9.23,30.25
19,STA_B4,1,22.7941,3.326,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.34,7.57,28.93
20,STA_B5,1,25.3186,14.1397,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.7,8.45,34.73
21,STA_B6,1,25.6312,9.8077,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.88,12.21,39.24
22,STA_B7,1,23.994,7.5242,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.3,12.98,34.55
23,STA_B8,1,27.6101,4.246,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.01,12.36,35.41
24,STA_B9,1,36.6176,15.4905,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.51,6.98,30.07
25,STA_B10,1,35.2324,3.5209,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.16,11.83,31.14
26,STA_B11,1,22.3359,7.2701,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
27,AP_C,0,50.0,10.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
28,STA_C1,1,54.2431,18.7164,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.62,0.23,10.85
29,STA_C2,1,56.1009,15.744,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.13,1.46,18.5
30,STA_C3,1,57.5722,10.5639,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.37,7.91,27.65
31,STA_C4,1,44.0458,2.0263,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.18,7.76,22.15
32,STA_C5,1,59.8148,10.7176,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-55.09,5.3,23.95
33,STA_C6,1,47.4136,12.8169,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.02,7.53,30.27
34,STA_C7,1,43.3672,4.5284,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.43,7.37,23.36
35,STA_C8,1,51.5868,18.6822,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.11,2.0,15.03
36,STA_C9,1,53.0912,6.2136,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.41,7.99,28.14
37,STA_C10,1,49.7891,19.3814,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.83,2.07,15.05
38,STA_C11,1,52.2491,1.2303,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.76,4.76,22.13
39,STA_C12,1,51.5147,16.2531,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-52.6,4.99,25.96
40,STA_C13,1,50.857,7.0355,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.25,7.6,34.2
41,STA_C14,1,54.6064,17.4101,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.26,1.15,21.96
42,STA_C15,1,44.752,16.9807,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.22,2.38,20.53
43,STA_C16,1,49.108,18.1139,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.41,3.0,17.99
44,STA_C17,1,56.9919,14.4124,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
45,AP_D,0,70.0,10.0,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
46,STA_D1,1,72.5567,3.7196,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.97,3.49,31.79
47,STA_D2,1,68.9539,19.6627,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.21,1.98,25.28
48,STA_D3,1,66.4637,16.1982,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.57,2.46,30.42
49,STA_D4,1,64.4105,4.5231,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.04,2.8,30.4
50,STA_D5,1,79.5983,8.2102,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.08,3.1,27.95
51,STA_D6,1,71.9678,16.2869,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-43.67,4.72,31.98
52,STA_D7,1,71.1798,11.3355,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.02,4.92,47.05
53,STA_D8,1,67.914,4.2632,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.81,4.3,33.54
54,STA_D9,1,67.7384,16.5574,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.78,3.49,30.79
55,STA_D10,1,72.1818,3.4295,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.31,4.58,31.81
56,STA_D11,1,76.4347,17.5523,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.29,2.83,26.71
57,STA_D12,1,67.3324,6.7199,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
58,AP_E,0,10.0,30.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
59,STA_E1,1,10.169,36.14,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.56,2.69,26.8
60,STA_E2,1,10.6696,23.2196,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.28,6.45,27.69
61,STA_E3,1,4.5084,31.7788,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.43,4.07,29.35
62,STA_E4,1,3.0553,32.0476,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.26,5.61,26.08
63,STA_E5,1,16.1783,23.0496,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.15,6.37,22.71
64,STA_E6,1,14.1208,37.6326,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.51,0.69,24.95
65,STA_E7,1,1.165,29.2048,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.28,5.61,24.16
66,STA_E8,1,1.7793,35.5097,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.42,1.61,25.37
